DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Comment,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Bad Sats,Residual,Time Error,Lat,Lon,Geoid,SatsUsed,Clk Error,CEP,R95,N/A,LocSolve.Residual
179064,179064,UT,5/29/2019 14:25,FastGPS,5,27.3357,-82.5768,,,,,,29-May-19,14:25:14,1,-1,,,0,6,27.3357,-82.5768,25:11.9,FastGPS,1,2.5,-1.1,27.33555,-82.576688,-26,5,-0.060937,15.919833,33.09574,0,0.851799
179064,179064,UT,5/29/2019 14:30,FastGPS,5,27.3357,-82.5764,,,,,,29-May-19,14:30:11,1,-1,,,0,6,27.3357,-82.5764,30:08.9,FastGPS,1,1.4,-1.1,27.335641,-82.576398,-26,5,-0.058125,15.012844,31.210202,0,1.306034
179064,179064,UT,5/29/2019 14:35,FastGPS,4,27.3355,-82.5763,,,,,,29-May-19,14:35:09,2,-1,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.6,-1,27.335416,-82.576244,-26,4,0.035,0,0,0,0.30128
179064,179064,,,FastGPS,,,,,,,,,29-May-19,14:40:07,,,,,,,,,,,,,,27.335964,-82.576771,-26,4,-0.13,0,0,0,1.256249
179064,179064,UT,5/29/2019 14:43,Argos,2,27.3427,-82.5893,330,864,125,95,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 14:45,FastGPS,5,27.3356,-82.5766,,,,,,29-May-19,14:45:04,1,-1,,,0,6,27.3356,-82.5766,45:01.9,FastGPS,1,4.4,-1.1,27.335514,-82.576537,-26,5,-0.09125,23.988705,49.87012,0,8.723585
179064,179064,UT,5/29/2019 14:50,Argos,1,27.3503,-82.5968,783,4388,139,101,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,,,FastGPS,,,,,,,,,29-May-19,14:50:02,,,,,,,,,,,,,,27.337131,-82.578045,-26,4,-0.35,0,0,0,0.845936
179064,179064,,,FastGPS,,,,,,,,,29-May-19,15:15:17,,,,,,,,,,,,,,27.335288,-82.578219,-26,4,0.575,0,0,0,0.947759
179064,179064,UT,5/29/2019 15:20,FastGPS,6,27.3356,-82.5766,,,,,,29-May-19,15:20:15,2,-1,,,0,7,27.3356,-82.5766,20:13.4,FastGPS,1,7.3,-0.6,27.335505,-82.576749,-26,6,0.365625,15.460742,32.141337,0,7.984829
179064,179064,UT,5/29/2019 15:20,Argos,1,27.3217,-82.5591,691,1217,392,113,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 15:25,FastGPS,5,27.335,-82.5782,,,,,Lon > 4 deviations from mean,29-May-19,15:25:13,1,-1,,,0,6,27.335,-82.5782,25:10.6,FastGPS,1,4.2,-1.4,27.335248,-82.577642,-26,5,-0.321133,25.554703,53.125673,0,13.097907
179064,179064,UT,5/29/2019 15:55,FastGPS,4,27.3363,-82.5759,,,,,Lat > 4 deviations from mean,29-May-19,15:55:04,1,-1,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.9,-1.5,27.336502,-82.575805,-26,4,-0.495,0,0,0,2.517261
179064,179064,UT,5/29/2019 15:55,Argos,1,27.3388,-82.6116,936,1378,635,95,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,,,FastGPS,,,,,,,,,29-May-19,16:00:23,,,,,,,,,,,,,,27.335128,-82.576729,-26,4,-0.54,0,0,0,1.199437
179064,179064,UT,5/29/2019 16:05,FastGPS,6,27.3357,-82.5767,,,,,,29-May-19,16:05:20,1,-1,,,0,6,27.3357,-82.5767,05:18.0,FastGPS,0,5.5,-1,27.33573,-82.576679,-26,6,0.053125,13.299638,27.648618,0,10.981207
179064,179064,UT,5/29/2019 16:29,Argos,B,27.3335,-82.6198,18742,21278,16507,94,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 16:39,Argos,B,27.3024,-82.6344,17200,30809,9601,107,,,,,,,,,,,,,,,,,,,,,,,,,
