Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179062,F283,6-Jun-19,20:02:58,-22,0:00:22,4:00:00,16:02:36,0,,,,,,,,,,,,,,2,4,,4,0.2,-0.1,27.4828,-82.6735,,0,27.4801,-82.6747,58:54.3,FastGPS,27.4828,-82.6735,,,,,15,6,4979,,,37,17,2236,,,,19,1028,,,,28,13537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,21:03:21,-22,0:00:22,4:00:00,17:02:59,0,,,,,,,,,,,,,,2,4,,4,0.8,-0.5,27.4785,-82.6675,,0,27.4801,-82.6747,58:54.3,FastGPS,27.4785,-82.6675,,,,,15,28,604,,,,19,9114,,,,9,18850,,,,17,13598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,22:04:14,-23,0:00:23,4:00:00,18:03:51,0,,,,,,,,,,,,,,2,4,,4,,,,,,0,27.4801,-82.6747,58:54.3,FastGPS,,,,,,,15,9,15079,,,,12,14603,,,,4,12632,,,,17,9362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,23:04:54,-23,0:00:23,4:00:00,19:04:31,0,,,,,,,,,,,,,,2,6,1,5,13.7,0.4,27.481,-82.6692,,0,27.481,-82.6692,04:31.4,FastGPS,27.481,-82.6692,,,,,15,9,3117,,,40,12,9808,,,,17,14132,,,,4,11441,,,,25,10934,,,,5,26330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,4:23:33,-24,0:00:24,4:00:00,0:23:09,0,,,,,,,,,,,,,,2,6,,6,9.2,-0.1,27.4814,-82.6727,,0,27.4814,-82.6727,23:08.9,FastGPS,27.4814,-82.6727,,,,,15,15,23988,,,41,24,31827,,,,10,8316,,,,27,25294,,,,29,28182,,,,32,28152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,8:40:26,-25,0:00:25,4:00:00,4:40:01,0,,,,,,,,,,,,,,1,6,,6,7,0.1,27.4908,-82.6588,,0,27.4908,-82.6588,40:01.1,FastGPS,27.4908,-82.6588,,,,,15,32,25148,,,42,10,32404,,,,25,12932,,,,31,20873,,,,14,27074,,,,22,30990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,10:00:58,-25,0:00:25,4:00:00,6:00:33,0,,,,,,,,,,,,,,1,4,,4,0.7,-0.5,27.482,-82.6569,,0,27.4801,-82.6747,58:54.3,FastGPS,27.482,-82.6569,,,,,15,16,20625,,,,26,24348,,,,32,7517,,,,29,5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,10:17:16,-25,0:00:25,4:00:00,6:16:51,0,,,,,,,,,,,,,,1,8,,8,12.6,0.1,27.4783,-82.656,,0,27.4783,-82.656,16:51.1,FastGPS,27.4783,-82.656,,,,,15,16,12302,,,,22,14793,,,,26,460,,,,32,6786,,,,14,1402,,,,31,12738,,,,3,16444,,,,29,6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,10:33:16,-25,0:00:25,4:00:00,6:32:51,0,,,,,,,,,,,,,,1,4,,4,0.2,-0.3,27.4731,-82.6572,,0,27.4864,-82.6745,6/8/2019 0:50,NK,27.4731,-82.6572,,,,,15,16,10060,,,,3,20258,,,,26,15997,,,,32,19012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,7-Jun-19,10:45:11,-26,0:00:26,4:00:00,6:44:45,0,,,,,,,,,,,,,,2,5,,5,0.8,0.1,27.4711,-82.6559,,0,27.4711,-82.6559,44:45.1,FastGPS,27.4711,-82.6559,,,,,15,32,12298,,,40,22,10382,,,,3,19341,,,,16,28837,,,,29,29400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
